Well_ID,Depth_m,Permeability_mD,API_Gravity,Init_Press_psi,CSS_Cycle,Steam_Temp_C,Steam_Quality_pct,Steam_Vol_bbl,Soak_Days,Prod_Temp_C,Oil_Viscosity_cP,VFD_SPM,Stroke_Len_in,PPRL_lbs,MPRL_lbs,Oil_Rate_bpd,Failure_Rod_Float,Failure_Pump_Unset
BGH-138,1279.7,1417.8,15.6,1114.8,4,261.1,74.0,13010.2,5,92.4,1918.0,3.1,64,15836.1,5151.7,534.4,0,0
BGH-128,1176.7,1403.7,15.1,1148.9,2,266.8,78.4,12578.2,11,173.1,187.5,7.0,54,15117.8,4745.2,1021.4,0,1
BGH-114,1204.9,1287.1,14.8,1100.8,4,313.8,80.6,16795.4,13,142.5,407.2,4.2,74,15288.5,4861.0,1240.5,0,0
BGH-142,1256.0,1770.4,14.9,1079.8,4,270.2,78.8,15209.9,12,123.8,693.6,3.2,64,16141.3,4745.8,545.4,0,0
BGH-107,1166.2,1342.4,15.5,1030.5,4,307.3,80.3,14045.4,8,61.8,6208.2,4.9,86,15198.4,4806.7,1288.8,0,0
BGH-120,1248.2,1598.1,16.0,989.8,5,270.0,73.8,16205.1,9,61.8,6208.2,6.7,100,15705.3,4782.5,1348.2,1,0
BGH-138,1096.9,1367.7,15.5,1098.4,1,315.8,82.5,19234.6,7,48.1,11294.1,4.8,100,15865.9,5134.7,1766.4,1,0
BGH-118,1227.5,1404.6,15.4,1130.8,5,314.0,76.7,15515.9,6,161.3,249.6,4.2,100,15202.8,5210.2,1246.8,0,0
BGH-122,1278.6,1477.2,14.1,1058.4,2,253.0,84.8,15582.7,7,124.2,685.4,5.5,74,14772.5,4721.1,1043.1,0,0
BGH-110,1171.0,1609.0,16.2,1152.8,5,303.9,70.3,14956.9,11,139.1,447.0,5.6,64,15499.7,4624.6,1228.7,0,0
BGH-110,1255.9,1448.2,15.5,1065.6,5,261.9,75.7,14215.6,12,42.9,14367.8,6.4,54,15530.3,4704.1,1010.1,1,0
BGH-123,1291.7,1272.2,15.2,1154.2,3,265.1,72.7,16638.2,6,175.8,176.0,6.6,64,15065.0,4860.0,1589.9,0,0
BGH-135,1187.3,1503.8,15.7,1061.0,2,282.2,78.3,14614.8,13,156.5,281.7,6.2,86,16479.3,4923.8,1052.8,0,0
BGH-139,1183.1,1346.7,14.8,966.9,2,290.3,73.6,15999.8,8,69.7,4493.1,3.0,100,15371.0,4749.2,807.6,0,0
BGH-123,1155.1,1808.8,15.2,1131.3,2,272.8,81.1,18001.2,6,65.5,5325.8,3.0,64,15785.3,5440.1,810.9,1,0
BGH-102,1174.5,1448.0,15.6,1053.9,5,290.3,83.2,16489.5,11,65.7,5282.4,7.4,64,15010.4,4771.7,1725.9,1,1
BGH-121,1159.2,1366.4,15.0,1022.9,2,261.9,73.2,12452.6,6,82.6,2733.1,4.2,54,15298.8,4924.4,715.1,0,0
BGH-101,1155.0,1895.0,14.2,1124.1,3,251.6,72.4,12335.6,11,113.5,950.9,4.3,86,16117.1,4953.1,517.7,0,0
BGH-123,1259.9,1647.8,14.1,1055.5,4,290.0,83.1,17506.6,12,100.5,1451.4,6.3,100,15894.8,4652.2,1583.1,0,0
BGH-143,1160.5,1320.6,15.9,1029.4,5,286.2,75.4,14775.6,13,80.8,2923.1,5.6,54,16393.8,5063.9,899.7,0,0
BGH-129,1212.9,1341.8,15.5,1165.6,4,298.3,76.5,15521.7,5,125.7,655.6,5.1,100,15230.8,5256.2,1320.8,0,0
